=== TigerIngest in application.log ===
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=IMCC, price=0.26, volume=85611200, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=ZTEK, price=0.4303, volume=33200, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=AMIX, price=0.396, volume=68200, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=CHOW, price=0.464, volume=1532300, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=NUWE, price=0.135, volume=2894100, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=IGC, price=0.2776, volume=846700, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=KWM, price=0.216, volume=552800, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=AMZE, price=0.139, volume=4051400, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=MVIS, price=0.3799, volume=5699900, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=MREO, price=0.292, volume=1225700, date=2026-06-17
2026-06-18 05:26:15 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=ITP, price=0.1921, volume=349100, date=2026-06-17
